SI.NO,Team Name,Track,College Name 
71,Nexora,Healthcare Innovation ,"SNS College of Technology , Coimbatore, Tamil Nadu"
72,Bit Coders,Education Transformation ,"MVSR Engineering College (MVSREC), Hyderabad, Telangana"
73,Slayer king,Smartcity & Infrastructure,"SD College of Engineering and Technology, Muzaffarnagar, UttarPradesh"
74,Havoc,Education Transformation ,"Noida Institute of Engineering and Technology (NIET), Greater Noida"
75,NeuroTech,Healthcare Innovation ,"Karpagam College of Engineering (KCE), Coimbatore, Tamil Nadu"
76,Wi-Fighters,Healthcare Innovation ,"Sri Krishna College of Engineering and Technology (SKCET), Coimbatore, Tamil Nadu"
77,SIRTIAN,Smartcity & Infrastructure,"Sagar Institute of Research and Technology (SIRT), Bhopal"
78, Binary hunter,Healthcare Innovation ,"Jagan Institute of Management Studies (JIMS), Rohini, New Delhi"
79,Spark,Education Transformation ,"SNS College of Technology , Coimbatore, Tamil Nadu"
80,The Parallel Frontiers,Smartcity & Infrastructure,"Karpagam College of Engineering (KCE), Coimbatore, Tamil Nadu"
81,Fensta,Smartcity & Infrastructure,"CMR University (CMRU), Bangalore, Karnataka"
82,Grid Connect,Smartcity & Infrastructure,"PGDAV (E) College, University of Delhi "
83,EDIPT 4,Healthcare Innovation ,"SNS College of Technology , Coimbatore, Tamil Nadu"
84,TECH ARC,Education Transformation ,"Presidency University, Banglore, Karnataka"
85,Student AI,Education Transformation ,"Punjab Engineering College (PEC), Chandigarh"
86,CodeCrafters,Education Transformation ,"CSMSS, Chh. Shahu College Of Engineering (CSCE) Aurangabad, Maharashtra"
87,Ember Syndicate,Healthcare Innovation ,"Coimbatore Institute of Technology (CIT), Coimbatore, Tamil Nadu"
88,Helix,Healthcare Innovation ,"Karpagam College of Engineering (KCE), Coimbatore, Tamil Nadu"
89,Sunshine,Education Transformation ,"PSGR Krishnammal College for Women, Coimbatore, Tamil Nadu"
90,VOLTX,Smartcity & Infrastructure,"Muthayammal Engineering College (Autonomous), Rasipuram;Namakkal, Tamil Nadu"
91,Legal nova,Smartcity & Infrastructure,"Anand Institute of Higher Technology (AIHT), Kazhipattur, Chennai, Tamil Nadu"
92,APEX,Smartcity & Infrastructure,"RMK College of Engineering and Technology, Thiruvallur, Tamil Nadu"
93,Quadra Minds,Healthcare Innovation ,"Velammal College of Engineering and Technology (VCET), Madurai, Tamil Nadu"
94,bRo's,Education Transformation ,"Samrat Ashok Technological Institute (SATI), Vidisha, Maharasthra"
95,The AI Aces,Healthcare Innovation ,"Karpagam College of Engineering (KCE), Coimbatore, Tamil Nadu"
96,ArchiTechs,Smartcity & Infrastructure,"KPR Institute of Engineering and Technology (KPRIET), Coimbatore"
